Concept	Form
Zunge	pimĩn
Zahn	pas
Auge	piṓki̯
Ohr	pʋái
Kopf	pʋṓko
Hand	piṓ
Wasser	ōn
Feuer	aškṓmi
Sonne	njṓki
Mond	stā́ka
Erde (Erdboden)	pṓtonǒ
Stein	melī́tš
Haus (Wohn-)	anár
Topf (Koch-)	káutoro
Mann	tsaná
Frau	šitǒ́
Jaguar	astsá
Tapir	háwuits
Kaiman	kašiṓ
Stock	atá
Maniok	konǒ
Mais	náši
Plante	sínkoyi
Tabak	porṓts
eins	akápastoi
zwei	šikará
drei	šikabená
weiß	paškašemarú
schwarz	paskšómašišo
rot	kurápuits
gut	ontí
schlecht	nhamašišo
essen	pinšínari
schlafen	yamáktso
töten	tidjóktstets
