Doculect	Concept	Form	Notes
Juri	WHITE	háre	Martius: albus
Juri	WHITE	ahré	Martius: albus
Juri	WHITE	aâre	Martius: albus
Juri	YEAR	(ghomea) yuráa	Martius: annus (unus)
Juri	WATER	o(a)ra	Martius: aqua
Juri	WATER	coörá	Martius: aqua
Juri	WATER	ghoaraq	Martius: aqua
Juri	TREE	noinlno	Martius: arbor
Juri	TREE	noinó	Martius: arbor
Juri	HEAR	tscho-naenióhnä	Martius: audio
Juri	HEAR	shaneyune	Martius: audio
Juri	BIRD	rhicopy	Martius: avis
Juri	BIRD	récapu	Martius: avis
Juri	EAR	tschu-tinäho	Martius: auris
Juri	EAR	su-ineu	Martius: auris
Juri	DRINK	tsch-ägóheo	Martius: bibo
Juri	SHORT	nogmó	Martius: brevis
Juri	SHORT	súohne	Martius: brevis
Juri	SHORT	erímo	Martius: brevis
Juri	HAIR	tschu-gerüönicó	Martius: capillus
Juri	HAIR	sukiriuii	Martius: capillus
Juri	HAIR	tikiriú	Martius: capillus
Juri	HEAD	tschu-gerühó	Martius: caput
Juri	HEAD	su-kiriu	Martius: caput
Juri	HEAD	(tcho) kireú	Martius: caput
Juri	FLESH OR MEAT	naí	Martius: caro
Juri	FLESH OR MEAT	tuóieh	Martius: caro
Juri	ROPE	nepenöoli	Martius: chorda
Juri	NECK	tschu0púnoho	Martius: collum
Juri	NECK	suponou	Martius: collum
Juri	HEART	su-mêniko	Martius: cor
Juri	BARK	coinoá	Martius: cortex
Juri	LEG	tschu-inóo	Martius: crus
Juri	SKIN (HUMAN)	näimé	Martius: cutis
Juri	TOOTH	ti tschäco	Martius: dens
Juri	TOOTH	su-seko	Martius: dens
Juri	TOOTH	(tcha) tikou	Martius: dens
Juri	DAY (NOT NIGHT)	oà	Martius: dies
Juri	DAY (NOT NIGHT)	oáh	Martius: dies
Juri	BACK	tschu-ibaüh	Martius: dorsum
Juri	EAT	wähaú	Martius: edo
Juri	I	tshuu	Martius: ego
Juri	I	súu	Martius: ego
Juri	YELLOW	goättä	Martius: flavus
Juri	YELLOW	ghuury	Martius: flavus
Juri	YELLOW	coeti	Martius: flavus
Juri	FLOWER	noohwü	Martius: flos
Juri	LEAF	nointjú	Martius: folium
Juri	LEAF	noiyóu	Martius: folium
Juri	GRASS	pinóu	Martius: gramen
Juri	PERSON	tschoko	Martius: homo
Juri	PERSON	soku	Martius: homo
Juri	FIRE	ji	Martius: ignis
Juri	FIRE	yy	Martius: ignis
Juri	FIRE	ii	Martius: ignis
Juri	HE	niy	Martius: ille
Juri	CHILD (YOUNG HUMAN)	uhé	Martius: infans
Juri	LONG	mähä	Martius: longus
Juri	LONG	maêe	Martius: longus
Juri	LONG	meyé	Martius: longus
Juri	BIG	tihi	Martius: magnus
Juri	BIG	tiy	Martius: magnus
Juri	HAND	tschu-enóo	Martius: manus
Juri	HAND	su-unóo	Martius: manus
Juri	HAND	(tcho) upumáu	Martius: manus
Juri	SEA	nada-tii	Martius: mare
Juri	HUSBAND	wesokoy	Martius: maritus (conjux)
Juri	MOTHER	ijoho	Martius: mater
Juri	MOTHER	suay	Martius: mater
Juri	MOTHER	iyuhó	Martius: mater
Juri	MOUNTAIN	poa	Martius: mons
Juri	DIE	tschatsché	Martius: morior
Juri	WOMAN	suryu	Martius: mulier
Juri	NOSE	tschu-ugónne	Martius: nasus
Juri	NOSE	su-kane	Martius: nasus
Juri	NOSE	youcóne	Martius: nasus
Juri	BLACK	tschuhí	Martius: niger
Juri	BLACK	suy	Martius: niger
Juri	BLACK	tuyí	Martius: niger
Juri	NOT	tiwá	Martius: non
Juri	NOT	ghainà	Martius: non
Juri	WE	too	Martius: nos
Juri	NIGHT	taiaeboi	Martius: nox
Juri	NIGHT	toipuy	Martius: nox
Juri	NIGHT	epóri	Martius: nox
Juri	KILL	tschanutsché	Martius: occido
Juri	EYE	tschu-äti	Martius: oculus
Juri	EYE	su-itty	Martius: oculus
Juri	EYE	(tcho) ití	Martius: oculus
Juri	SMELL (PERCEIVE)	tschu-nämä	Martius: olfacio
Juri	SMELL (PERCEIVE)	schanême	Martius: olfacio
Juri	MOUTH	tschu-ijägh	Martius: os, oris
Juri	MOUTH	suya	Martius: os, oris
Juri	MOUTH	(tcho) iá	Martius: os, oris
Juri	BONE	niano	Martius: os, ossis
Juri	BONE	(tcho) uinó	Martius: os, ossis
Juri	EGG	eaté	Martius: ovum
Juri	FATHER	hato	Martius: pater
Juri	FATHER	suâtu	Martius: pater
Juri	FATHER	háto	Martius: pater
Juri	FEW	ihi	Martius: paucus
Juri	FOOT	tschu-óti	Martius: pes
Juri	FOOT	su-uty	Martius: pes
Juri	FOOT	(tscho) u-óti	Martius: pes
Juri	FISH	oöó	Martius: piscis
Juri	FEATHER	naini	Martius: pluma
Juri	ROOT	näti	Martius: radix
Juri	RED	áhre	Martius: ruber
Juri	RED	aré	Martius: ruber
Juri	RED	ahrí	Martius: ruber
Juri	BLOOD	naigonihi	Martius: sanguis
Juri	BLOOD	ükon-ia	Martius: sanguis
Juri	BLOOD	ehcóni eri	Martius: sanguis
Juri	OLD	itä	Martius: senex
Juri	OLD	raiuu	Martius: senex
Juri	SUN	ijü	Martius: sol
Juri	SUN	yyú	Martius: sol
Juri	SUN	iyé	Martius: sol
Juri	STAR	ohngo	Martius: stella
Juri	STAR	ukoo	Martius: stella
Juri	STAR	oúco	Martius: stella
Juri	FOREST	noijú	Martius: sylva
Juri	FOREST	noiyú	Martius: sylva
Juri	YOU	wikú	Martius: tu
Juri	YOU	wiù	Martius: tu
Juri	HUNT	tschuinaihnió	Martius: venor
Juri	WIND	yu-nia	Martius: ventus
Juri	WIND	rereáh	Martius: ventus
Juri	SEE	tschan igó	Martius: video
Juri	SEE	schau-wiraku	Martius: video
Juri	HUSBAND	tchoucú	Martius: vir
Juri	GREEN	tschúhmŏ	Martius: viridis
Juri	BE ALIVE	nihcó	Martius: vivo
Juri	ONE	ghoméa	Martius: 1
Juri	ONE	comäa	Martius: 1
Juri	ONE	coméeh	Martius: 1
Juri	TWO	panga	Martius: 2
Juri	TWO	peiá	Martius: 2
Juri	TWO	paoó	Martius: 2
Juri	THREE	umüea	Martius: 3
Juri	THREE	gojogóba	Martius: 3
Juri	THREE	keuyecopáh	Martius: 3
Juri	FOUR	tariooma	Martius: 4
Juri	FOUR	tărăaóba	Martius: 4
Juri	FOUR	cominó púh	Martius: 4
Juri	FIVE	ghomen-apa	Martius: 5
Juri	FIVE	ticomenáueba	Martius: 5
Juri	FIVE	wenóri	Martius: 5
Juri	DOG	wéri	Martius: canis
Juri	SNAKE	göohti	Martius: serpens
Coëruna	WHITE	hacoámö	Martius: albus, a, um
Coëruna	ANIMAL	tschoaimá	Martius: animal
Coëruna	WATER	nühó	Martius: aqua
Coëruna	TREE	taina	Martius: arbor
Coëruna	HEAR	ojagotjötschá	Martius: audire
Coëruna	BIRD	öhockgömö	Martius: avis
Coëruna	EAR	comätoré	Martius: auris
Coëruna	DRINK	erecocó	Martius: bibo, ere
Coëruna	SHORT	aonamö	Martius: brevis, e
Coëruna	HAIR	covaungeté	Martius: capillus
Coëruna	HEAD	copia	Martius: caput
Coëruna	FLESH OR MEAT	goiá	Martius: caro
Coëruna	NECK	conämoó	Martius: collum
Coëruna	LEG	oemoná	Martius: crus
Coëruna	SKIN (HUMAN)	cunnühpehú	Martius: cutis
Coëruna	TOOTH	cuirí	Martius: dens
Coëruna	SLEEP	coiná	Martius: dormio, ire
Coëruna	BACK	coamoho	Martius: dorsum
Coëruna	EAT	ucumá	Martius: edo, ere
Coëruna	I	coáe	Martius: ego
Coëruna	YELLOW	oassaimö	Martius: flavus, a, um
Coëruna	FLOWER	aeeäé	Martius: flos
Coëruna	RIVER	ráasĕ	Martius: fluvius
Coëruna	LEAF	nĕhōphthó	Martius: folium
Coëruna	FIRE	aeithá	Martius: ignis
Coëruna	LONG	aeneimöh	Martius: longus, a, u
Coëruna	BIG	vaamö	Martius: magnus, a, um
Coëruna	HAND	cunia	Martius: manus
Coëruna	SEA	páasĕ	Martius: mare
Coëruna	MOTHER	coí	Martius: mater
Coëruna	MOUNTAIN	mucōăhugh	Martius: mons
Coëruna	DIE	giackopái	Martius: morior
Coëruna	WOMAN	inoni	Martius: mulier
Coëruna	NOSE	cuihottai	Martius: nasus
Coëruna	BLACK	coghohomö	Martius: niger, a, um
Coëruna	NOT	öqué	Martius: non
Coëruna	NIGHT	cannatozümá	Martius: nox
Coëruna	EYE	coiaassá	Martius: oculus
Coëruna	SMELL (PERCEIVE)	nequaani	Martius: olfacio, ere
Coëruna	MOUTH	coä	Martius: os, oris
Coëruna	BONE	gottövúna	Martius: os, ossis
Coëruna	SMALL	anoëtzü	Martius: parvus, a, um
Coëruna	FATHER	comú	Martius: pater
Coëruna	FEW	anuaécki	Martius: paucus, a, um
Coëruna	FOOT	coëráhe	Martius: pes, pedis
Coëruna	FEATHER	ihóato	Martius: pluma
Coëruna	ROOT	ahonauó	Martius: radix
Coëruna	RED	ríumö	Martius: ruber, a, um
Coëruna	BLOOD	gorüŭnă	Martius: sanguis
Coëruna	OLD	jáme	Martius: senex
Coëruna	SNAKE	átziú	Martius: serpens
Coëruna	SUN	äócke	Martius: sol
Coëruna	STAR	ighkeahaí	Martius: stella
Coëruna	FOREST	aeaittó	Martius: sylva
Coëruna	YOU	oaë	Martius: tu
Coëruna	HUNT	coquaăĭ-mackia	Martius: venor, ari
Coëruna	SEE	jarecotiá	Martius: video
Coëruna	HUSBAND	ûaimé	Martius: vir
Coëruna	GREEN	mockomö	Martius: viridis, e
Coëruna	FLY (MOVE THROUGH AIR)	oenagóa	Martius: volo
Pebas	WHITE	papasey	Martius: albus
Pebas	WATER	ain	Martius: aqua
Pebas	TREE	tapasey	Martius: arbor
Pebas	EAR	mitiwa	Martius: auris
Pebas	HAIR	raino-say	Martius: capilli
Pebas	HEAD	raino	Martius: caput
Pebas	NECK	mipiisé	Martius: collum
Pebas	HEART	caïshi	Martius: cor
Pebas	TOOTH	viala	Martius: dens
Pebas	YELLOW	wayou	Martius: flavus
Pebas	FLOWER	susaman	Martius: flos
Pebas	RIVER	nowa	Martius: fluvius
