Doculect	Concept	Form	Note	Spanish
Yagua	SAND	ti̠cha̠		arena
Yagua	STONE	rawuchu		piedra
Yagua	ROAD	nukï		carretera
Yagua	EGG	wada		huevo
Yagua	RAIN (PRECIPITATION)	rumura		lluvia
Yagua	SNOW	piryeradi		nieve
Yagua	FOG	ririjurya		neblina
Yagua	SKY	jarichi		cielo
Yagua	CLOUD	piryeradi		nube
Yagua	WIND	richo		viento
Yagua	SUN	ñi		sol
Yagua	STAR	darichi		estrella
Yagua	DAY (NOT NIGHT)	narya		día
Yagua	NIGHT	nupora		noche
Yagua	YEAR	ña		año
Yagua	ROPE	niriju̠		cuerda
Yagua	SALT	tiwi		sal
Yagua	I	ra		yo
Yagua	THOU	ji		tú
Yagua	HE	ni		él
Yagua	THEY	irye		ellos
Yagua	WE	ju̠		nosotros
Yagua	YOU	irye		ustedes
Yagua	THEY	ri		ellos
Yagua	WHO	chira		quién
Yagua	WHAT	ta̠ra		qué
Yagua	THIS	dya		este
Yagua	BE ALIVE	yanu		vivir
Yagua	DIE	yadi		morir
Yagua	KILL	yaway		matar
Yagua	SWELL	sapo		hinchar
Yagua	FALL	saju		caer
Yagua	TUMBLE (FALL DOWN)	sajuñuma		caerse
Yagua	BREATHE	sanari		respirar
Yagua	BLOW (OF WIND)	sadu		soplar
Yagua	SLEEP	sama		dormir
Yagua	THROW	satiriyo̠		echar
Yagua	SIT	yama_sa		sentar
Yagua	SIT DOWN	yanuma_masa		sentarse
Yagua	STAND	yarani		parar
Yagua	STAND UP	yarani_jasi		pararse
Yagua	FLOAT	yapa̠		flotar
Yagua	GO	ye̠ya		ir
Yagua	COME	warenuma		venir
Yagua	WALK	yarupï		caminar
Yagua	FLY (MOVE THROUGH AIR)	yaji̠		volar
Yagua	SWIM	yanuni		nadar
Yagua	SPIN	yata̠rya̠		girar
Yagua	PLAY	yatiyi̠sa		jugar
Yagua	SEE	yanu		ver
Yagua	SMELL (PERCEIVE)	yanari		oler
Yagua	HEAR	yatuwa̠chu		oir
Yagua	KNOW (SOMETHING)	ya̠datya		saber
Yagua	THINK	yachipïya̠		pensar
Yagua	FEAR (BE AFRAID)	yasu̠wu̠		temer
Yagua	COUNT	yasaranu̠		contar
Yagua	SAY	yanike_siwa		decir
Yagua	SING	yamara̠		cantar
Yagua	LAUGH	yatodi		reir
Yagua	EAT	ya̠miy		comer
Yagua	DRINK	yaja̠tu		beber
Yagua	DRINK	urya̠jatura		tomar
Yagua	SUCK	ya̠rimi		chupar
Yagua	BITE	yasu̠		morder
Yagua	SPIT	yato̠chi		escupir
Yagua	VOMIT	yayanï		vomitar
Yagua	SCRATCH	yamïnu		rascar
Yagua	HUNT	yadapu		cazar
Yagua	BURN (SOMETHING)	yarupa		quemar
Yagua	SEW	yasinïrya		coser
Yagua	TIE	yapichira		amarrar
Yagua	HUNT	dapu		cazar
Yagua	BURN (SOMETHING)	arupa		quemar
Yagua	SEW	sakirichi		coser
Yagua	TIE	sapichi		amarrar
Yagua	PULL	sati		jalar
Yagua	THROW	sajasi		lanzar
Yagua	PUSH	sasityada		empujar
Yagua	WASH	sasuta		lavar
Yagua	CLEAN (SOMETHING)	sapu̠		limpiar
Yagua	RUB	sapa̠		frotar
Yagua	GIVE	riwa		dar
Yagua	HOLD	sasa̠		agarrar
Yagua	CUT	sirï		cortar
Yagua	BRAWL (FIGHT)	su_way		pelear
Yagua	HIT	suwatyi_riwa		golpear
Yagua	HIT	suwañi		pegar
Yagua	BORE	sawidita		perforar
Yagua	KILL	suwañi		matar
Yagua	SMOOTH	wasadya		liso
Yagua	SPEAK	anike		hablar
Yagua	COLD	sudora		frío
Yagua	ROTTEN	purya		podrido
Yagua	STRAIGHT	wase		recto
Yagua	HEAVY	jima		pesado
Yagua	WET	apadi		mojado
Yagua	DRY	wasa		seco
Yagua	BLACK	wadaku		negro
Yagua	WHITE	pupasi		blanco
Yagua	RED	runa		rojo
Yagua	YELLOW	wasunudi		amarillo
Yagua	GREEN	wasunu		verde
Yagua	NEW	wadira		nuevo
Yagua	OLD	rimityura		viejo
Yagua	GOOD	samïrya		bueno
Yagua	BAD	na_samïrya		malo
Yagua	HERE	yu		aquí
Yagua	NEAR	ida		cerca
Yagua	FAR	ripya		lejos
Yagua	RIGHT	wase		derecha
Yagua	LEFT	mïnaniju̠		izquierda
Yagua	BIG	jamura		grande
Yagua	BROAD	jamujati		ancho
Yagua	THICK	jamupo		grueso
Yagua	SMALL	pasidyera		pequeño
Yagua	THIN	pasipuda		delgado
Yagua	NARROW	watatuda		estrecho
Yagua	LONG	jamuka̠		largo
Yagua	SHORT	pasidyera		corto
Yagua	LOW	pasida		bajo
Yagua	ONE	tarakï		uno
Yagua	TWO	araju̠		dos
Yagua	THREE	mumuri̠		tres
Yagua	FOUR	darajuyu		cuatro
Yagua	FIVE	tadajyo		cinco
Yagua	SIX	tarakïdyete		seis
Yagua	FEW	pasidye		pocos
Yagua	MANY	raju		muchos
Yagua	OTHER	ti̠		otro
Yagua	WHERE	te		dónde
Yagua	WHEN	nutyaju		cuándo
Yagua	HOW	nutyara_rawara		cómo
Yagua	IN	mu		en
Yagua	CORRECT (RIGHT)	samïrya_nudiriwa		correcto
Yagua	NOT	ne		no
Yagua	AND	chi		y
Yagua	BECAUSE	taraju̠		porque
Yagua	IN	te		en
Yagua	WITH	nutyara_mïsi		con
