Doculect	Concept	Form	Note	Spanish
Yagua	ANIMAL	jawada		animal
Yagua	DOG	nibi		perro
Yagua	BIRD	wiche		pájaro
Yagua	SNAKE	kodi		culebra
Yagua	FISH	kïwa̠		pescado
Yagua	FISH	kïwa_denu		pez
Yagua	LOUSE	runi		piojo
Yagua	WORM	ityoda		lombriz
Yagua	TREE	ni̠nu		árbol
Yagua	NAME	si̠tya		nombre
Yagua	FATHER	saja̠y		padre
Yagua	MOTHER	sunoda		madre
Yagua	WIFE	sawaturu̠		esposa
Yagua	HUSBAND	sawanu		esposo
Yagua	MALE PERSON	wanu		hombre
Yagua	WOMAN	watura		mujer
Yagua	CHILD (YOUNG HUMAN)	dera		niño
Yagua	PERSON	nijyami̠		persona
Yagua	HEAD	no		cabeza
Yagua	EAR	tuwa̠		oreja
Yagua	EYE	nisi		ojo
Yagua	NOSE	nu		nariz
Yagua	MOUTH	_		boca
Yagua	TONGUE	dachi		lengua
Yagua	TOOTH	janda		diente
Yagua	NECK	tunuju̠		cuello
Yagua	BELLY	pïde		barriga
Yagua	BACK	sata_sa		espalda
Yagua	TAIL	samusi		cola
Yagua	LEG	samuda		pierna
Yagua	FOOT	sanumutu		pie
Yagua	WING	nipya̠		ala
Yagua	HAND	jomutu		mano
Yagua	HEART	jachitadi		corazón
Yagua	GUTS	sikidi		tripas
Yagua	LIVER	suwa̠tu		hígado
Yagua	BONE	sadu		hueso
Yagua	FLESH OR MEAT	sasawi		carne
Yagua	FAT (ORGANIC SUBSTANCE)	nïra		grasa
Yagua	SKIN (HUMAN)	sajay		piel
Yagua	HAIR	nojasi		cabello
Yagua	FEATHER	sa̠si		pluma
Yagua	BLOOD	day		sangre
Yagua	ROOT	nutijyu̠		raíz
Yagua	BARK	jiway		corteza
Yagua	LEAF	nawi̠		hoja
Yagua	FLOWER	rabï		flor
Yagua	FRUIT	rajo		fruta
Yagua	SEED	rasï		semilla
Yagua	STICK	jipu		palo
Yagua	ASH	pupo		ceniza
Yagua	MOUNTAIN	to		montaña
Yagua	FOREST	kuruju		bosque
Yagua	RIVER	nawa		río
Yagua	LAKE	ja̠		lago
Yagua	SEA	jamu_nawa		mar
Yagua	WATER	ja̠		agua
Yagua	ICE	sudodi		hielo
Yagua	FIRE	jida		fuego
Yagua	SMOKE (EXHAUST)	anuwachi		humo
Yagua	EARTH (SOIL)	mïko		tierra
Yagua	DUST	rajuru		polvo
