Doculect	Concept	Form	Note
Omurano	ALL		
Omurano	AND		
Omurano	ANIMAL		
Omurano	ASH	n̄jótši
Omurano	AT
Omurano	BACK	anaθḗi
Omurano	BAD	atšamani	Interrogation mark on the gloss in the original source
Omurano	BARK
Omurano	BECAUSE
Omurano	BELLY	anaθawuápa
Omurano	BERRY
Omurano	BIG	lē̠tḗ̠
Omurano	BIRD
Omurano	BITE
Omurano	BLACK	pitšama
Omurano	BLOOD	lána
Omurano	BLOW (OF WIND)
Omurano	BONE	anaī́
Omurano	BREATHE
Omurano	BURNING
Omurano	CHILD (YOUNG HUMAN)	(ni)θáwana	boy
Omurano	CHILD (YOUNG HUMAN)	(ni)pái	girl
Omurano	CLOUD
Omurano	COLD (OF WEATHER)
Omurano	COME
Omurano	COUNT
Omurano	CUT
Omurano	DAY (NOT NIGHT)	báō
Omurano	DIE
Omurano	DIG
Omurano	DIRTY	aiðóamana
Omurano	DOG	maladží
Omurano	DRINK
Omurano	DRY
Omurano	BLUNT
Omurano	DUST
Omurano	EAR	(a)natsḗi̯yo
Omurano	EARTH (SOIL)	(nj)ípĕ̠
Omurano	EAT	pḗ̠nē̠ĩṅ	Note in the source: Form?
Omurano	EGG	ū͜ŭ́n
Omurano	EYE	(a)natn̄n
Omurano	FALL
Omurano	FAR
Omurano	FAT (ORGANIC SUBSTANCE)
Omurano	FATHER
Omurano	FEAR (BE AFRAID)
Omurano	FEATHER
Omurano	FEW
Omurano	FIGHT
Omurano	FIRE	ínjo
Omurano	FISH
Omurano	FIVE	oṛaṛápa
Omurano	FLOAT
Omurano	FLOW
Omurano	FLOWER
Omurano	FLY (MOVE THROUGH AIR)
Omurano	FOG
Omurano	FOOT	analṓ̠tši
Omurano	FOUR	natsononídza
Omurano	FREEZE
Omurano	GIVE
Omurano	GOOD	ni'manei	Interrogation mark on the gloss in the original source
Omurano	GRASS
Omurano	GREEN
Omurano	GUTS
Omurano	HAIR	anána
Omurano	HAND	(a)na̯óra
Omurano	HE
Omurano	HEAD	naneyalok
Omurano	HEAR
Omurano	HEART
Omurano	HEAVY
Omurano	HERE	ńtalo
Omurano	HIT
Omurano	HOLD
Omurano	HOW
Omurano	HUNT
Omurano	HUSBAND	njiwā́na
Omurano	I
Omurano	ICE
Omurano	IF
Omurano	IN
Omurano	KILL	napē̠tẽ́ṅani	Note on the source: Form?
Omurano	KNOW (SOMETHING)
Omurano	LAKE
Omurano	LAUGH
Omurano	LEAF	ápai
Omurano	LEFT
Omurano	LEG
Omurano	LIE (REST)
Omurano	BE ALIVE
Omurano	LIVER
Omurano	LONG
Omurano	LOUSE
Omurano	MALE PERSON	lanarawana
Omurano	MANY	alē̠ē̠ma
Omurano	FLESH OR MEAT	(ni)pái
Omurano	MOTHER
Omurano	MOUNTAIN
Omurano	MOUTH	anaṛá͜u
Omurano	NAME
Omurano	NARROW
Omurano	NEAR
Omurano	NECK	anaṓni
Omurano	NEW
Omurano	NIGHT	nṓpei
Omurano	NOSE	analáma
Omurano	NOT
Omurano	OLD	bū́ṛo
Omurano	ONE	naθŏ́ro
Omurano	OTHER
Omurano	PERSON
Omurano	PLAY
Omurano	PULL
Omurano	PUSH
Omurano	RAIN (RAINING)
Omurano	RED	raʋ̠ima
Omurano	CORRECT (RIGHT)
Omurano	RIGHT
Omurano	RIVER
Omurano	ROAD	láutĕ
Omurano	ROOT	yálĕ'
Omurano	ROPE
Omurano	ROTTEN
Omurano	RUB
Omurano	SALT
Omurano	SAND
Omurano	SAY
Omurano	SCRATCH
Omurano	SEA
Omurano	SEE
Omurano	SEED
Omurano	SEW
Omurano	SHARP
Omurano	SHORT
Omurano	SING
Omurano	SIT
Omurano	SKIN (HUMAN)	anápa
Omurano	SKY	bā́al
Omurano	SLEEP	látšani	Note on the source: Form?
Omurano	SMALL	atatū́i
Omurano	SMELL (PERCEIVE)
Omurano	SMOKE (EXHAUST)
Omurano	SMOOTH
Omurano	SNAKE	róma
Omurano	SNOW
Omurano	SOME
Omurano	SPIT
Omurano	SPLIT
Omurano	SQUEEZE
Omurano	STAB
Omurano	STAND
Omurano	STAR	θnn̄́
Omurano	STICK
Omurano	STONE	tiṓkn
Omurano	STRAIGHT
Omurano	SUCK
Omurano	SUN	hḗ̠na
Omurano	SWELL
Omurano	SWIM
Omurano	TAIL
Omurano	THAT
Omurano	THERE	ńtali
Omurano	THEY
Omurano	THICK
Omurano	THIN
Omurano	THINK
Omurano	THIS
Omurano	THOU
Omurano	THREE	ononṍ̠o̠n
Omurano	THROW
Omurano	TIE
Omurano	TONGUE	nateto
Omurano	TOOTH	nanani
Omurano	TREE	á͜a
Omurano	TURN AROUND
Omurano	TWO	θṓoro
Omurano	VOMIT
Omurano	WALK
Omurano	WARM (OF WEATHER)
Omurano	WASH
Omurano	WATER	tówă
Omurano	WE
Omurano	WET
Omurano	WHAT
Omurano	WHEN
Omurano	WHERE
Omurano	WHITE	tšalama
Omurano	WHO
Omurano	WIDE
Omurano	WIFE	njiwā́na
Omurano	WIND	bū́na
Omurano	WING
Omurano	WIPE
Omurano	WITH
Omurano	WOMAN	mpárawan
Omurano	FOREST	napápai
Omurano	WORM		
Omurano	YOU		
Omurano	YEAR		
Omurano	YELLOW		
