DOCULECT	Concept	FORM	NOTE
AchuarShiwiar	GREEN	samék	light green
AchuarShiwiar	GUTS	ampúj	
AchuarShiwiar	HAIR	intásh	
AchuarShiwiar	HAND	ũwé̃j	
AchuarShiwiar	HE	ni,áu	
AchuarShiwiar	HEAD	múuk	
AchuarShiwiar	HEAR	antúktin	
AchuarShiwiar	HEART	nintí	inintí
AchuarShiwiar	HEAVY	kíjin	méram
AchuarShiwiar	HERE	jú̃ni	
AchuarShiwiar	HIT	awátratin	
AchuarShiwiar	HOLD	ayáarai túsar achíktin	
AchuarShiwiar	HOW	itúr	itiúr
AchuarShiwiar	HUNT		
AchuarShiwiar	HUSBAND	áishri	
AchuarShiwiar	I	wi	
AchuarShiwiar	ICE		
AchuarShiwiar	IF	-ka	-kia
AchuarShiwiar	IN	-num	-nam
AchuarShiwiar	KILL	máatin	
AchuarShiwiar	KNOW (SOMETHING)	nekáatin	
AchuarShiwiar	LAKE	mamús	
AchuarShiwiar	LAUGH	wishírtin	
AchuarShiwiar	LEAF	núka	
AchuarShiwiar	LEFT	ména	
AchuarShiwiar	LEG	máku	
AchuarShiwiar	LIE (REST)	tepéstin	
AchuarShiwiar	BE ALIVE	pujústin	
AchuarShiwiar	LIVER	akáp	
AchuarShiwiar	LONG	sáram	japiáng,esáram
AchuarShiwiar	LOUSE	téma	
AchuarShiwiar	MALE PERSON	áishmang	
AchuarShiwiar	MANY	untsúri	chúcha,shúsha,tsútsa,kúsha
AchuarShiwiar	FLESH OR MEAT	namáng	
AchuarShiwiar	MOTHER	núkur	
AchuarShiwiar	MOUNTAIN		
AchuarShiwiar	MOUTH	jángkẽ	
AchuarShiwiar	NAME	náar	
AchuarShiwiar	NARROW	ménaku	wangkármachu
AchuarShiwiar	NEAR	nintúmas	jintiúmas
AchuarShiwiar	NECK	kuntúj	
AchuarShiwiar	NEW	yamáram	
AchuarShiwiar	NIGHT	káshi	
AchuarShiwiar	NOSE	nújĩ	
AchuarShiwiar	NOT	tsá	atsá
AchuarShiwiar	OLD	weámrau	anciano
AchuarShiwiar	OLD	arút	usado
AchuarShiwiar	ONE	kíchik	chikíchik
AchuarShiwiar	OTHER	kich	chíkich
AchuarShiwiar	PERSON	áints	
AchuarShiwiar	PLAY	nakúrustin	
AchuarShiwiar	PULL	japíktin	
AchuarShiwiar	PUSH	shitáktin	
AchuarShiwiar	RAIN (RAINING)	jitúrtin	
AchuarShiwiar	RED	kapántin	
AchuarShiwiar	CORRECT (RIGHT)	métek	
AchuarShiwiar	RIGHT	unsúrinini	
AchuarShiwiar	RIVER	éntsa	
AchuarShiwiar	ROAD	jínta	jíntia
AchuarShiwiar	ROOT	kangkáp	
AchuarShiwiar	ROPE	chápik	
AchuarShiwiar	ROTTEN	káuru	
AchuarShiwiar	RUB	japírtin	
AchuarShiwiar	SALT	wee	
AchuarShiwiar	SAND	yayákim	nayákim,yáikim
AchuarShiwiar	SAY	títin	
AchuarShiwiar	SCRATCH	kesártin	péruatin
AchuarShiwiar	SEA	jũũn éntsa	
AchuarShiwiar	SEE	jíistin	wáinkatin
AchuarShiwiar	SEED	jingkiájĩ	
AchuarShiwiar	SEW	apákmartin	
AchuarShiwiar	SHARP	ére	tsákamu
AchuarShiwiar,1645,sútarach	SHORT		
AchuarShiwiar	SING	nampéstin	
AchuarShiwiar	SIT	kéemsatin	ekéemsatin
AchuarShiwiar	SKIN (HUMAN)	nuwáp	
AchuarShiwiar	SKY	nayáim	yayáim
AchuarShiwiar	SLEEP	kanúrtin	kajíngtin
AchuarShiwiar	SMALL	túupich	trúpich,tiúpich,túumpich,yáirach
AchuarShiwiar	SMELL (PERCEIVE)	nekápratin	
AchuarShiwiar	SMOKE (EXHAUST)	mukúnit	
AchuarShiwiar	SMOOTH	pínu	
AchuarShiwiar	SNAKE	nápi	
AchuarShiwiar	SNOW		
AchuarShiwiar	SOME	júmchik	
AchuarShiwiar	SPIT	usúkmitin	
AchuarShiwiar	SPLIT	akántratin	
AchuarShiwiar	SQUEEZE	ijúrtin	
AchuarShiwiar	STAB	kuchí̃ĩjãĩ ijútin	
AchuarShiwiar	STAND		
AchuarShiwiar	STAR	yaa	
AchuarShiwiar	STICK	númi	yúmi
AchuarShiwiar	STONE	káya	
AchuarShiwiar	STRAIGHT	túpin	
AchuarShiwiar	SUCK	mukunátin	
AchuarShiwiar	SUN	tsaa	etsáa
AchuarShiwiar	SWELL		
AchuarShiwiar	SWIM	yukuáktin	yukúmkatin
AchuarShiwiar	TAIL	juké̃	ujuké̃
AchuarShiwiar	THAT	nu	
AchuarShiwiar	THERE	áni	
AchuarShiwiar	THEY	ni,áu	níta
AchuarShiwiar	THICK	nupáram	tuup,ápu
AchuarShiwiar	THIN	watsáru	
AchuarShiwiar	THINK	nintímratin	inintímratin
AchuarShiwiar	THIS	jũ	
AchuarShiwiar	THOU	ámẽ	
AchuarShiwiar	THREE	kampátam	
AchuarShiwiar	THROW	jíiktin	
AchuarShiwiar	TIE	jingkiátin	jíniuktin
AchuarShiwiar	TONGUE	iná̃ĩ,inĩá̃ĩ	
AchuarShiwiar	TOOTH	nái	
AchuarShiwiar	TREE	númi	yúmi
AchuarShiwiar	TURN AROUND	yántratin	ayántratin,yántumratin
AchuarShiwiar	TWO	jímiar	
AchuarShiwiar	VOMIT	imiúktin	iniúktin
AchuarShiwiar	WALK	wekáasatin	
AchuarShiwiar	WARM (OF WEATHER)	tsúwer	
AchuarShiwiar	WASH	nijártin	
AchuarShiwiar	WATER	yúmi	
AchuarShiwiar	WE	ii	
AchuarShiwiar	WET	chúpit	
AchuarShiwiar	WHAT	warí	
AchuarShiwiar	WHEN	warútik	warútia
AchuarShiwiar	WHERE	tuní	
AchuarShiwiar	WHITE	púju	píshi
AchuarShiwiar	WHO	ya	yáki
AchuarShiwiar	WIDE	wangkáram	
AchuarShiwiar	WIFE	nuwári	nuwé̃
AchuarShiwiar	WIND	nasé̃	
AchuarShiwiar	WING	nanáp	
AchuarShiwiar	WIPE	pakuíchau awajsatin/awáasatin	
AchuarShiwiar	WITH	-jaĩ	
AchuarShiwiar	WOMAN	núwa	
AchuarShiwiar	FOREST	íkiam	
AchuarShiwiar	WORM	áka	
AchuarShiwiar	YOU	átum	
AchuarShiwiar,1226,músach,wáta	YEAR		
AchuarShiwiar	YELLOW	chakuir	takúm,takúmp
