Grapheme	IPA
a	a
á	!á/a
a̯	!a̯/a
ă	!ă/a
ā́	!ā́/a
á̠	!á̠/a
ā	!ā/a
e	e
é	!é/e
ḗ	!ḗ/e
ĕ̠́	!ĕ̠́/e
ḗ̠	!ḗ̠/e
ĕ̠	!ĕ̠/e
ĕ	!ĕ/e
ē̠	!ē̠/e
ẽ́	!ẽ́/e
i	i
ĩ	!ĩ/i
ī	!ī/i
í	!í/i
ī́	!ī́/i
i̯	!i̯/i
ĩ́	!ĩ́/i
ĭ́	!ĭ́/i
o	o
ó	!ó/o
ō	!ō/o
ṓ	!ṓ/o
ŏ́	!ŏ́/o
ṍ̠	!ṍ̠/o
o̠	!o̠/o
ṓ̠	!ṓ̠/o
ŏ̠	!ŏ̠/o
ō̠	!ō̠/o
ŏ	!ŏ/o
o̯	!o̯/o
u	u
ú	!ú/u
ū́	!ū́/u
ū	!ū/u
ŭ̠	!ŭ̠/u
aa	aː
áa	!áa/aː
ii	!ii/iː
aá	!aá/aː
a͜á	aː
á͜a	aː
a͜í	ai
á͜u	au
a͜o	ao
ū͜ŭ́	!ū͜ŭ́/uː
ó͜o	!ó͜o/oː
'	ʔ
b	b
b̯	b
d	d
ð	ð
dj	dʲ
h	h
θ	θ
k	k
kj	kʲ
l	l
m	m
ḿ	m
n	n
nj	ɲ
n̊	!n̊/n
n̄	n
n̄j	ɲ
n̄́	n
ń	n
n̄́j	ɲ
y	j
p	p
r	r
r̥	!r̥/r
s	s
ṛ	!ṛ/r
t	t
t̯	t
tj	tʲ
ts	ts
tš	tʃ
w	w
ʋ̠	v
v̠	v
ʋ	v
x	x
dz	dz
dž	dʒ
-	+
-$	NULL
^-	NULL
