Grapheme	IPA	Notes
a	a	Nasal phoneme is not noted in this dataset.
i	i	Nasal phoneme is not noted in this dataset.
ɨ	ɨ	Nasal phoneme is not noted in this dataset.
u	ʊ	Nasal phoneme is not noted in this dataset.
uu	ʊː
ii	iː
ɨɨ	ɨː
aa	aː
au	oʊ
ai	ɛi
aɨ	əɨ
p	p
b	b
t	t
k	k
d	d
g	g
m	m
n	n
ts	ts
w	w
s	s
tʃ	tʃ
ʃ	ʃ
h	h
ʔ	ʔ
j	j
_	+
