Concept	Form
Zunge	nateto
Zahn	nanani
Auge	(a)natn̄n
Ohr	(a)natsḗi̯yo
Kopf	naneyalok
Hand	(a)na̯óra
Wasser	tówă
Feuer	ínjo
Sonne	hḗ̠na
Mond	aíta
Erde (Erdboden)	(nj)ípĕ̠
Stein	tiṓkn
Haus (Wohn-)	ána
Topf (Koch-)	manjī́
Kanu	ópi
Mann	lanarawana
Frau	mpárawan
Huhn	máta
Hund	maladží
Jaguar	árĕ
Tapir	lautṓma
Kaiman	apan
Stock	áă
Maniok	n̄njúna
Mais	aítšia
Plante	púra
Tabak	oā́n
eins	naθŏ́ro
zwei	θṓoro
drei	ononṍ̠o̠n
weiß	tšalama
schwarz	pitšama
rot	rav̠ima
Haar	anána
Schnurrbart	ana θúli
Backenbart	ana bánaloi
Stirn	anaa͜í
Brauen	anana bidzoloi
Wimpern	naθn̄npī́tši
Nase	analáma
Mund	anar̥á͜u
Kinn	anaábana
Hals	anaṓni
Rücken	anaθáb̯a
Arm (mit Hand)	anamani
Finger	anaáθeθṓ̠n
Nagel	anabū́n
Brust	anatsšuáli
Rippe	anabaáni
Brustwarze	anaðn̄́ta
weibl. Brust	anaðn̄́ta
Bauch	anaθawuápa
Nabel	anamutŏ̠
Penis	anármita
Hoden	anaθoótō̠n̊
Gesäß	nioθnárĕ
Anus	aliduénĕ̠
Vulva	ipáuxi
Oberschenkel	anaópa
Knie	anínjapuna
Fuß	analṓ̠tθi
Ferse	anala͜odówa
Zehe	anala͜oθeθṓ̠n
Haut	anápa
Knochen	anaī́
Blut	lána
Atem	niawúnŏ
Leute	tabitn̄́
Ehemann	njiwā́na
Ehefrau	njiwā́na
Knabe	(ni)θáwana
Mädchen	(ni)pái
Speise	njiyanĭ́
Fleisch	aitša
Fisch	mā́ma
Himmel	bā́al
Vollmond	aita tšūma
Mond, zunehm.	aita r̥awána
Stern	θnn̄́
Blitz	r̥ūviĕ̠́
Donner	mā́in
Regen	aθn̄́
Wind	bū́na
Nacht	nṓpei
Tag	báō
Monat (s.10)	aita
Jahr
Sandbank	kī́a̯
Hügel	aθnípénō̠
Wald	napápai
Pflanzung	ðídjĕ̠
Weg	láutĕ
Baum	á͜a
Holz	ámeta
Liane	ídn
Blatt	ápai
Wurzel	yálĕ'
Aff allg.
Heller Kapuzineraffe	báwani ðnán
Dunkler Kapuzineraffe	báwani mien
Saimiri (frailecito)	wimā́li
Brüllaffe	imár̥iawue
Wollaffe (choro)	θṓnŭ̠
Spinnenaffe	bā́bani
Nachtaffe (musmuqui)	náamii
Fledermaus	tsḗ̠idzŏ̠
Puma	ar̥er̥awī́n
Tigerkatze (trigillo)	ár̥ĕ̠ θolowĕ
Buschhund	napapai malatši
Nasenbär (achuni)	ābádn
Otter	aárenĭ
Delphin (buféo)	táwi
Seekuh	báala
Reh	aa θamáli
Weißbartpekari	a͜án
Halsbandpekari	kjī́an
Wasserschwein (ronsoco)	aár̥atĕ
Aguti	pṓ̠lē̠mă
Paka (majás)	yapṓ
Gr. Ameisenbär	nā́paya
Faultier	θŏḗ̠wĕ̠
Kl. Gürteltier (carachupa)	apá̠tsĕ
Hahn	máta
Huhn	matár̥awĕ
Ei	ū͜ŭ́n
Ara macao	áwŏ
Ara chloroptera	bē̠ṓli
Ararauna	paiða
Papagei	tī'wĕ̠́
Hokko	tatn̄́la
Penelope jacutinga	napī́tšo
Penelope jacuacu (pucacunga L.)	tsšao̯lí
Arapaima (paiche L.)	paitsĕ́
Reisenwels (súngaro)	tor̥omā́ma
Landschildkröte	bā́umi
Flußschildkröte	tšar̥ápa
Schlange	r̥óma
Eunectes (boa)	tá̠a̯u
Wespe	ī́ntsĕ
Milbe (isangüe)	iθū́nắ
Mücke	sanjắ
Dinoponeraameise (isula)	lai̯džidžima
Ding,Sache	awátĕ
Feuerholz	n̄́jāo̯
Asche	n̄jótši
Rauch	niáuwitsŏ
hart	liŏ̠mani
weich	liū́ma
lang	ðaḗ̠ma
kurz	atatṓi
groß	lē̠tḗ̠
klein	atatū́i
alt	bū́r̥o
hübsch	nimā́
häßlich	ē̠na
kalt	ná̯lama
heiß	ṓtoma
heute	aθḗnĕ̠
gestern	alidza
morgen	baoḗ̠ni
hier	ńtalo
dort	ńtali
ja	ḿm
nein	máwa
viele	alē̠ē̠ma
wenig	atatī́u
vier	natsononídza
fünf	or̥ar̥ápa
sechs	nō̠tō̠lĕ̠
sieben	nō̠tolepemidze
acht	natolḗ̠
neun	natolḗ̠leai
zehn	natolē̠oleaídje
gut (?)	ni'manei
schlect (?)	atšámani
Sohle (?)	analápo
Sohn	wuana
mein Sohn	nará wuana
Messer aus Stein oder Eisen	ólapa
Beil aus Stein oder Eisen	atjirápa
Nadel	áowi
Hemd	ímai
Flinte	atjiwúndza
Pulver (?)	díomĕ̠
Milch	níθt̯a
Kuh	waā́la
Spinne, bissig	áawuei
rein (?)	e͜iðámane
schmutzig (?)	aiðóamana
Löwenäffchen (pichico)	θō̠obḗbi
Leptodactylusfrosch	pó͜on
essen (Form?)	pḗ̠nē̠ĩn̊
schlafen (Form?)	látšani
töten (Form?)	napē̠tẽ́n̊ani
