FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
kaamo-	1	1	1	1	0	0	0	0	1
kʰááme-ne	1	1	1	1	0	0	1	1	1
káámo-βo-no	1	1	1	1	1	1	1	1	1
