FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
kanut	1	1	1	1	0	1	0	0
kanúrtin	1	1	1	1	1	1	1	1
kaná-r	1	1	1	1	1	0	0	0
kanut	1	1	1	1	0	1	0	0
mʷeɲets	1	1	1	1	0	1	0	0
