FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
kɨɨhɨ-gai	1	1	1	1	1	1	1	1
kʰɯ́ɯ́hɯ-kʷa	1	1	1	1	1	1	1	0
kɨ́ɨhɨ-gai	1	1	1	1	1	1	1	1
