FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
harɯ́ɸene	1	1	1	1	1	0	0	1	1	1
harɯɸebehɯ	1	1	1	1	1	1	1	1	1	1
harɯ́pene	1	1	1	1	0	0	1	1	1	1
