FORM	Slot1	Slot2	Slot3	Slot4
iina	1	1	1	0
anu	1	1	1	0
ini	1	1	1	0
ni	0	1	1	0
nu	0	1	1	0
nu	0	1	1	0
n̪ĩĩ́	0	1	1	1
au	0	0	1	1
