FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
ngo̰	0	0	1	0	0	1
aanɯ̃	1	0	1	0	0	1
aɯníde	1	1	1	1	1	1
aɯnide	1	0	1	1	1	1
aɯníde	1	1	1	1	1	1
