FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
ména	1	1	0	1	0	0	0	0	0	1
mena	1	1	0	1	0	0	0	0	0	1
ména	1	1	0	1	0	0	0	0	0	1
mi-no-kɨ	1	1	0	1	0	1	0	1	0	1
mí-ɲéé-kʰɯɯ́	1	1	0	1	1	1	0	1	1	1
míí-no-kkɨ	1	1	1	1	0	1	1	1	0	1
