FORM	Slot1	Slot2	Slot3	Slot4
kí=	1	1	0	0
xõ	1	1	0	0
xõɯ̃	1	1	0	1
kúe	1	1	0	1
kue	1	1	0	1
kúe	1	1	0	1
kwa	1	1	0	0
ka	1	1	0	0
kijá	1	1	1	1
cui	1	1	0	1
kua	1	1	0	0
kan̪ɨ̃́	1	1	1	1
kwihya	1	1	1	1
