FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
ɯ́aiθaɯ	1	1	1	1	1	1
ɯaiθaɯ	1	1	0	1	1	0
ɯ́aitaɯ	1	1	1	1	1	1
