FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
tuujíini	1	1	1	1	1	1	0
toj̃iniu	1	1	1	1	1	1	1
tahwinyu	1	1	1	1	1	1	0
