FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
buʔee-	1	1	1	1	1	0	0
póʔɨ́ɨ́-pe	1	1	1	1	1	1	1
búʔée-no	1	1	1	1	1	1	1
