FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
aʔiim̥a	1	1	1	1	0	1
ɯɯm̥a	0	0	1	1	0	1
aɸémɯe	1	1	1	1	1	1
imɯe	0	0	1	1	1	1
apéma	1	1	1	1	0	1
