FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
ʦɨɨhe-βa	1	1	1	1	0	1	1	0	0	1
ʦʰɯ́ʔhɨ-βá-ne	1	1	0	1	1	1	1	1	1	1
sɨ́ɨ́héβano	1	1	1	1	0	1	1	1	1	1
