FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10
naga ámade	1	1	1	1	0	1	1	1	1	1
naga amaga	1	1	1	1	0	1	1	1	1	1
natsononídza	1	1	1	1	1	1	1	1	1	1
