FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
satáani	0	1	1	0	1	1	1	1	0
tʃeˀteɲets	1	1	1	1	1	1	1	1	1
tsutanu	0	1	1	0	1	1	1	1	0
