FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
mooɲ̥a	0	0	0	1	1	1	0	0	1
moɲ̥amó	0	0	0	1	1	1	1	1	1
móna	0	0	0	1	1	1	0	0	1
aremona	1	1	1	1	1	1	0	0	1
móna	0	0	0	1	1	1	0	0	1
