FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
ajirɨ́ɨ̀nì	0	1	1	1	1	1	1	1	0
kaj̃iniu	1	1	1	0	0	1	1	1	1
