FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
hiinɨ-βa-	1	1	1	1	1	1	0	0	1
beeβa-	1	1	0	0	1	1	0	0	1
iiɲɯ́-βá-ne	0	1	1	1	1	1	1	1	1
híínɨβano	1	1	1	1	1	1	1	1	1
bééβano	1	1	0	0	1	1	1	1	1
