FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
matʦi-βa	1	1	1	1	1	1	0	0	1
mahʦʰíβa	1	1	1	1	1	1	0	0	1
másí-βa-ʔi	1	1	0	1	1	1	1	1	1
