FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
giiɨkɨ	1	1	1	0	1	1	0	0	1
ʧiɯ́kʰɯ	1	1	0	0	1	1	0	0	1
gííjɨkɨ-ʔi	1	1	1	1	1	1	1	1	1
