FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
juhagkim	1	1	1	1	1	1	1	1
yuránkim	1	1	1	1	1	1	1	1
yurankim	1	1	1	1	1	1	1	1
