FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
ríkiija	0	1	1	1	1	1	1
ɾikwia	0	1	1	1	1	0	1
arichakwa	1	1	1	1	1	1	1
