FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
hairíɸo	1	1	1	1	1	1	1	0
hairiɸo	1	1	0	1	1	1	1	0
hairípoɯ	1	1	1	1	1	1	1	1
