FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
puhut	1	1	1	1	0	1	0	0
pujústin	1	1	1	1	1	1	1	1
pujut	1	1	1	1	0	1	0	0
