FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
batɯ́ne	1	1	1	1	1	1
hadɯ́	1	1	1	0	0	1
batɯne	1	1	1	1	1	1
hadɯ	1	1	1	0	0	1
baɗɯ́	1	1	1	0	0	1
hadɯ́	1	1	1	0	0	1
