FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
aa-nɨɨ	0	0	1	1	1	1	1
áánɯɯ́	0	0	1	1	1	1	1
áháanɨ	1	1	1	1	1	0	1
