FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
gaaini-ʔu	1	1	1	1	1	1	1	1
kʷááni-ʔʲo	1	1	1	0	1	1	1	1
gáaɲi-ʔu	1	1	1	0	1	1	1	1
