FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10	Slot11
ɯɯm̥á	0	0	1	1	0	0	0	0	0	0	1
aɸémakɯ	1	1	1	1	0	0	0	1	1	0	1
íaiʤɯnoɯ	0	0	1	0	1	1	1	1	1	1	1
imakɯ	0	0	1	1	0	0	0	1	1	0	1
iaɯmaiaɯ	1	0	1	1	0	0	0	1	0	0	1
apémakɯ	1	1	1	1	0	0	0	1	1	0	1
apémaɯʤɯnoɯ	1	1	1	1	1	1	1	1	1	1	1
dáɯʤɯnoɯ	0	1	1	0	0	1	1	1	1	1	1
