FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
ráda	1	1	1	0	0	1
radóθi	1	1	1	1	1	1
rada	1	1	1	0	0	1
radoθi	1	1	1	1	1	1
ráda	1	1	1	0	0	1
radóti	1	1	1	1	1	1
mitš	1	1	1	0	0	0
