FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
prɨɨkɨ-	1	0	1	1	1	1	1	0	0
pʰɨ́rɯɯkʰɯ́-ne	1	1	1	1	1	1	1	1	1
párʲɨ́ɨ́kɨno	1	1	1	1	1	1	1	1	1
