FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
tɯíde	0	0	0	1	1	1	1	1
ɸiodaite	1	1	1	1	0	1	1	1
ɗɯíde	0	0	0	1	1	1	1	1
