FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
iʤaaju	1	1	1	1	1	1	0	0
íʧaájo	1	1	1	1	1	1	0	0
íʤáju-ʔi	1	1	0	1	1	1	1	1
