FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10	Slot11	Slot12	Slot13	Slot14
ngai-jɨʔai	0	0	0	1	0	1	1	1	1	0	1	1	1	1
nékʷa-jɯ́ɯ́ʔa	0	0	0	1	1	1	1	0	1	1	1	1	1	0
híínɨgai-jɨʔai	1	1	1	1	1	1	1	1	1	0	1	1	1	1
