FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
ʦeʦee	0	1	1	1	1	1	0	0
ʦʰɨʦʰɨ	0	1	1	1	0	1	0	0
sésééne	0	1	1	1	1	1	1	1
oshíshia	1	1	1	1	1	1	0	0
sukḗe	0	1	1	1	1	1	0	0
ushicha	1	1	1	1	0	1	0	0
