FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
peeme	1	1	1	1	0	0	1
pʰɨɨ́mɨ	1	1	1	1	0	0	1
ɸééme-ne	1	1	1	1	1	1	1
