FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
imut	1	1	1	0	0	1	0	0
imoɾin	1	1	0	1	0	1	1	1
imiúktin	1	1	1	1	1	1	1	1
imia-k	1	1	1	1	1	0	0	0
muit	0	1	1	1	0	1	0	0
