FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
kɨβo-	0	1	0	1	0	1	0	0	1
kʰɯɯ́βe-ne	0	1	1	1	0	1	1	1	1
kɨ́βo-no	0	1	0	1	0	1	1	1	1
utsálmana	1	1	0	1	1	1	1	1	1
