FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
kuwiʃ	1	1	1	1	1	0
kuwísh	1	1	1	1	1	0
kuish’	1	1	0	1	1	1
kuish	1	1	0	1	1	0
