FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
nittɨ-	1	1	1	1	0	0	1
nihtʰʲɯ	1	1	1	1	0	0	1
níttɨ-ʔi	1	1	1	1	1	1	1
