FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6
nanapɨ	1	1	1	1	1	1
nanáp	1	1	1	1	1	0
nánape	1	1	1	1	1	1
nanap	1	1	1	1	1	0
