FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
imuikɯ	1	1	1	0	1	1	0	0
ɯmúitaɯ	1	1	1	1	1	1	0	1
amokan	1	1	1	0	1	1	1	0
