FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
juwamu	1	1	1	1	1	1	0
yúwatin	1	1	1	1	1	1	1
yu-a	1	1	0	0	0	1	0
yuta	1	1	0	0	1	1	0
