FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
tepéstin	1	1	1	1	1	1	1	1
tepesma	1	1	1	1	1	1	1	0
tepet	1	1	1	1	0	1	0	0
