FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10	Slot11
páʔríɲeɯ́βɯ́	1	1	1	0	1	1	1	1	1	1	1
báárene	1	1	0	1	1	1	1	1	0	0	0
