FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
jukumat	1	1	1	1	1	1	1	0	0
yukuáktin	1	1	1	1	1	0	1	1	1
yukuá-k	1	1	1	1	0	1	1	0	0
yukumat	1	1	1	1	1	1	1	0	0
