FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10	Slot11	Slot12
xomɯɯxoʔjáʤi	1	1	1	1	1	1	1	0	1	1	1	1
komekɯ ɸakáde	1	1	1	1	1	1	1	1	1	1	1	1
komekɯ ɸakade	1	1	1	1	1	1	1	1	1	1	1	1
komekɯ pakáde	1	1	1	1	1	1	1	1	1	1	1	1
