FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
awatut	1	1	1	1	0	1	1	0	0
awɨɾin	1	1	1	0	1	0	0	1	1
awátratin	1	1	1	1	1	1	1	1	1
awat-’	1	1	1	1	0	0	0	1	0
awatat	1	1	1	1	0	1	1	0	0
