FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
ʦa-tɨkko-βo	1	1	1	1	1	1	1	1	1
ʦʰa-tʰɯ́hkʰe-βe	1	1	1	1	1	1	1	1	1
sá-tɨ́kko-βo	1	1	1	1	1	1	1	1	1
