FORM	Slot1	Slot2	Slot3	Slot4	Slot5
mõ	1	1	0	0	0
mõʔto	1	1	1	1	1
mõʔ	1	1	1	0	0
mõʔxo	1	1	1	1	1
mõʔk	1	1	1	1	0
úh	0	1	1	0	0
