FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8
hi-noo-ri	1	1	1	1	0	1	1	1
í-ɲeé-ri	0	1	1	1	0	1	1	1
hi-néé-ri	1	1	1	1	0	1	1	1
anṹlaṛa	0	1	1	1	1	1	1	1
