FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
chanut	0	0	0	0	1	1	1	1	1
et͡ʃtateɲet͡s	1	1	1	1	1	1	1	1	1
