FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9	Slot10	Slot11
nekápmartin	1	1	1	1	1	1	1	1	1	1	1
nekapmat	1	1	1	1	1	1	1	0	1	0	0
