FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
hiinɨ-he	1	1	1	1	1	1	1
ííɲɯhɨ	0	1	1	1	1	1	1
híínɨ-he	1	1	1	1	1	1	1
