FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7	Slot8	Slot9
aame	0	0	0	0	1	1	1	0	1
ʔáámɨɨ́	0	0	0	1	1	1	1	1	1
áame	0	0	0	0	1	1	1	0	1
-ʔaame	0	0	0	1	1	1	1	0	1
ɨ́naʔáámɨ	1	1	1	1	1	1	1	0	1
áame	0	0	0	0	1	1	1	0	1
