FORM	Slot1	Slot2	Slot3	Slot4	Slot5	Slot6	Slot7
mooβa-	1	1	1	1	0	0	1
mééβa-ne	1	1	1	1	1	1	1
móóβano	1	1	1	1	1	1	1
